run_id,strategy_id,symbol,side,opened_at,closed_at,duration_seconds,quantity,entry_price,exit_price,gross_pnl_eur,net_pnl_eur,fees_eur,slippage_eur,spread_cost_eur,latency_cost_eur,entry_reason,exit_reason,regime,metadata
relative_value_2026_06_22,relative_value_long_only,LINKEUR,buy,2026-06-02T14:30:00+00:00,2026-06-02T15:30:00+00:00,3600.0,13.463425930289073,7.42753,7.3414,-1.1596048753757955,-2.0941547324615293,0.7953615804984968,0.05965211853738725,0.07953615804984968,0.0,relative_value_negative_zscore_long_only,zscore_mean_reversion,,"{""cointegration_pvalue"": null, ""correlation"": 0.74963505, ""cost_profile"": ""paper_current_taker"", ""expected_move_bps"": 159.649347, ""hedge_ratio"": 0.9300818, ""mae_bps"": -188.55528, ""mfe_bps"": 54.7019, ""reference_execution"": ""none"", ""reference_symbols"": [""DOTEUR""], ""relationship_id"": ""LINKEUR_vs_DOTEUR"", ""zscore"": -3.3566496}"
relative_value_2026_06_22,relative_value_long_only,LINKEUR,buy,2026-06-03T14:30:00+00:00,2026-06-03T16:15:00+00:00,6300.0,13.586123448543866,7.27913,7.1335474,-1.9779031755599823,-2.898221523148042,0.783249657521753,0.05874372431413147,0.0783249657521753,0.0,relative_value_negative_zscore_long_only,fixed_stop_loss,,"{""cointegration_pvalue"": null, ""correlation"": 0.82493233, ""cost_profile"": ""paper_current_taker"", ""expected_move_bps"": 156.69385, ""hedge_ratio"": 0.7022123, ""mae_bps"": -263.506765, ""mfe_bps"": 37.724288, ""reference_execution"": ""none"", ""reference_symbols"": [""DOTEUR""], ""relationship_id"": ""LINKEUR_vs_DOTEUR"", ""zscore"": -2.50432129}"
relative_value_2026_06_22,relative_value_long_only,ADAEUR,buy,2026-06-03T16:30:00+00:00,2026-06-03T19:45:00+00:00,11700.0,550.292788767964,0.179907,0.17630886,-1.9800304949775618,-2.9013386842906215,0.7840920760111146,0.05880690570083359,0.07840920760111145,0.0,relative_value_negative_zscore_long_only,fixed_stop_loss,,"{""cointegration_pvalue"": null, ""correlation"": 0.8729856, ""cost_profile"": ""paper_current_taker"", ""expected_move_bps"": 176.986119, ""hedge_ratio"": 0.92984121, ""mae_bps"": -207.607264, ""mfe_bps"": 94.104176, ""reference_execution"": ""none"", ""reference_symbols"": [""XRPZEUR""], ""relationship_id"": ""ADAEUR_vs_XRPZEUR"", ""zscore"": -2.71405232}"
relative_value_2026_06_22,relative_value_long_only,ADAEUR,buy,2026-06-04T03:15:00+00:00,2026-06-04T06:45:00+00:00,12600.0,576.9056459597189,0.170602,0.170191,-0.2371082204894414,-1.1611536277661287,0.786421623214202,0.05898162174106514,0.07864216232142018,0.0,relative_value_negative_zscore_long_only,zscore_mean_reversion,,"{""cointegration_pvalue"": null, ""correlation"": 0.90673213, ""cost_profile"": ""paper_current_taker"", ""expected_move_bps"": 268.165378, ""hedge_ratio"": 2.02460384, ""mae_bps"": -136.282107, ""mfe_bps"": 149.470698, ""reference_execution"": ""none"", ""reference_symbols"": [""XRPZEUR""], ""relationship_id"": ""ADAEUR_vs_XRPZEUR"", ""zscore"": -2.48041328}"
relative_value_2026_06_22,relative_value_long_only,AVAXEUR,buy,2026-06-04T11:00:00+00:00,2026-06-04T13:15:00+00:00,8100.0,2.4029362148281646,6.511,6.6336125,0.29463001664061783,0.14617738923179285,0.1263426616245319,0.009475699621839893,0.012634266162453191,0.0,relative_value_negative_zscore_long_only,trailing_stop,,"{""cointegration_pvalue"": null, ""correlation"": 0.83195771, ""cost_profile"": ""paper_current_taker"", ""expected_move_bps"": 171.221312, ""hedge_ratio"": 0.81487219, ""mae_bps"": -43.004147, ""mfe_bps"": 313.315927, ""reference_execution"": ""none"", ""reference_symbols"": [""SOLEUR""], ""relationship_id"": ""AVAXEUR_vs_SOLEUR"", ""zscore"": -3.44371424}"
relative_value_2026_06_22,relative_value_long_only,ADAEUR,buy,2026-06-04T13:15:00+00:00,2026-06-04T20:00:00+00:00,24300.0,602.5660230939454,0.163,0.15974,-1.96436523528627,-2.8783843792649675,0.7778886331733598,0.05834164748800198,0.07778886331733598,0.0,relative_value_negative_zscore_long_only,fixed_stop_loss,,"{""cointegration_pvalue"": null, ""correlation"": 0.89284218, ""cost_profile"": ""paper_current_taker"", ""expected_move_bps"": 253.023152, ""hedge_ratio"": 1.75966079, ""mae_bps"": -279.509202, ""mfe_bps"": 143.067485, ""reference_execution"": ""none"", ""reference_symbols"": [""XRPZEUR""], ""relationship_id"": ""ADAEUR_vs_XRPZEUR"", ""zscore"": -2.06435536}"
relative_value_2026_06_22,relative_value_long_only,ADAEUR,buy,2026-06-05T02:00:00+00:00,2026-06-05T02:15:00+00:00,900.0,660.0415380403431,0.147934,0.14497532000000002,-1.9528516977691965,-2.8615135927412068,0.7733292723166043,0.057999695423745314,0.07733292723166042,0.0,relative_value_negative_zscore_long_only,fixed_stop_loss,,"{""cointegration_pvalue"": null, ""correlation"": 0.79798856, ""cost_profile"": ""paper_current_taker"", ""expected_move_bps"": 717.230452, ""hedge_ratio"": 1.74422418, ""mae_bps"": -241.661822, ""mfe_bps"": -62.865873, ""reference_execution"": ""none"", ""reference_symbols"": [""XRPZEUR""], ""relationship_id"": ""ADAEUR_vs_XRPZEUR"", ""zscore"": -2.5427577}"
relative_value_2026_06_22,relative_value_long_only,AVAXEUR,buy,2026-06-05T04:00:00+00:00,2026-06-05T04:45:00+00:00,2700.0,15.425120319388506,6.293,6.3613375,1.0541141598262145,0.13669917087785954,0.7807787139986,0.058558403549894986,0.07807787139985999,0.0,relative_value_negative_zscore_long_only,trailing_stop,,"{""cointegration_pvalue"": null, ""correlation"": 0.81684227, ""cost_profile"": ""paper_current_taker"", ""expected_move_bps"": 195.171354, ""hedge_ratio"": 1.15909121, ""mae_bps"": 88.987764, ""mfe_bps"": 233.592881, ""reference_execution"": ""none"", ""reference_symbols"": [""SOLEUR""], ""relationship_id"": ""AVAXEUR_vs_SOLEUR"", ""zscore"": -3.14983066}"
relative_value_2026_06_22,relative_value_long_only,AVAXEUR,buy,2026-06-05T10:45:00+00:00,2026-06-05T12:00:00+00:00,4500.0,15.706506309299165,6.182,6.05836,-1.9419524400817483,-2.845542910451786,0.7690131662723725,0.05767598747042793,0.07690131662723725,0.0,relative_value_negative_zscore_long_only,fixed_stop_loss,,"{""cointegration_pvalue"": null, ""correlation"": 0.85961572, ""cost_profile"": ""paper_current_taker"", ""expected_move_bps"": 225.898302, ""hedge_ratio"": 1.32086441, ""mae_bps"": -242.639922, ""mfe_bps"": -58.233581, ""reference_execution"": ""none"", ""reference_symbols"": [""SOLEUR""], ""relationship_id"": ""AVAXEUR_vs_SOLEUR"", ""zscore"": -2.90577927}"
relative_value_2026_06_22,relative_value_long_only,ADAEUR,buy,2026-06-06T03:00:00+00:00,2026-06-06T04:00:00+00:00,3600.0,714.9465868384779,0.135015,0.1323147,-1.9305702684399337,-2.8288646143450387,0.764505826302217,0.05733793697266627,0.0764505826302217,0.0,relative_value_negative_zscore_long_only,fixed_stop_loss,,"{""cointegration_pvalue"": null, ""correlation"": 0.71971341, ""cost_profile"": ""paper_current_taker"", ""expected_move_bps"": 200.788298, ""hedge_ratio"": 0.95225077, ""mae_bps"": -259.082324, ""mfe_bps"": 40.662149, ""reference_execution"": ""none"", ""reference_symbols"": [""XRPZEUR""], ""relationship_id"": ""ADAEUR_vs_XRPZEUR"", ""zscore"": -2.10975299}"
relative_value_2026_06_22,relative_value_long_only,AVAXEUR,buy,2026-06-07T12:15:00+00:00,2026-06-07T14:45:00+00:00,9000.0,4.359595430643047,5.782,5.826725,0.1949829056355089,-0.04288101335277211,0.20243737786236682,0.01518280333967751,0.020243737786236685,0.0,relative_value_negative_zscore_long_only,trailing_stop,,"{""cointegration_pvalue"": null, ""correlation"": 0.8144597, ""cost_profile"": ""paper_current_taker"", ""expected_move_bps"": 194.641126, ""hedge_ratio"": 0.43279278, ""mae_bps"": -65.721204, ""mfe_bps"": 202.352127, ""reference_execution"": ""none"", ""reference_symbols"": [""SOLEUR""], ""relationship_id"": ""AVAXEUR_vs_SOLEUR"", ""zscore"": -2.98390068}"
relative_value_2026_06_22,relative_value_long_only,ADAEUR,buy,2026-06-07T19:30:00+00:00,2026-06-07T22:00:00+00:00,9000.0,693.0150029716922,0.138459,0.14399736,3.8381665718582956,2.918158044583861,0.7829859806590934,0.058723948549432,0.07829859806590933,0.0,relative_value_negative_zscore_long_only,fixed_take_profit,,"{""cointegration_pvalue"": null, ""correlation"": 0.81157511, ""cost_profile"": ""paper_current_taker"", ""expected_move_bps"": 161.865405, ""hedge_ratio"": 0.82960855, ""mae_bps"": -79.518124, ""mfe_bps"": 472.414216, ""reference_execution"": ""none"", ""reference_symbols"": [""XRPZEUR""], ""relationship_id"": ""ADAEUR_vs_XRPZEUR"", ""zscore"": -3.07948768}"
relative_value_2026_06_22,relative_value_long_only,AVAXEUR,buy,2026-06-07T20:45:00+00:00,2026-06-07T22:00:00+00:00,4500.0,13.555524643150626,5.725,5.954,3.1042151432814946,2.3601347734369207,0.6332598892294246,0.04749449169220684,0.06332598892294246,0.0,relative_value_negative_zscore_long_only,fixed_take_profit,,"{""cointegration_pvalue"": null, ""correlation"": 0.84206239, ""cost_profile"": ""paper_current_taker"", ""expected_move_bps"": 236.47164, ""hedge_ratio"": 0.28548343, ""mae_bps"": -38.427948, ""mfe_bps"": 443.668122, ""reference_execution"": ""none"", ""reference_symbols"": [""SOLEUR""], ""relationship_id"": ""AVAXEUR_vs_SOLEUR"", ""zscore"": -2.33395362}"
relative_value_2026_06_22,relative_value_long_only,AVAXEUR,buy,2026-06-08T05:45:00+00:00,2026-06-08T08:15:00+00:00,9000.0,4.3798118739300005,5.686,5.798,0.4905389298801605,0.2541394599471635,0.2011910382408485,0.015089327868063636,0.020119103824084848,0.0,relative_value_negative_zscore_long_only,time_stop,,"{""cointegration_pvalue"": null, ""correlation"": 0.91757158, ""cost_profile"": ""paper_current_taker"", ""expected_move_bps"": 235.057894, ""hedge_ratio"": 0.53349219, ""mae_bps"": 68.589518, ""mfe_bps"": 237.425255, ""reference_execution"": ""none"", ""reference_symbols"": [""SOLEUR""], ""relationship_id"": ""AVAXEUR_vs_SOLEUR"", ""zscore"": -2.06993609}"
